student_id,data_split,age,semester,program_stream,institution_type,residence_mode,scholarship_holder,current_gpa,failed_subjects,backlog_count,credits_completion_ratio,attendance_pct,attendance_velocity_14d,consecutive_absent_days,lms_active_hours_week,lms_activity_velocity_pct,assignment_completion_pct,avg_assignment_delay_days,missed_assessments,fee_overdue_days,scholarship_delay_days,financial_support_requested,paid_work_hours_week,family_responsibility_hours_week,course_satisfaction_1_5,career_uncertainty_1_5,prerequisite_gap_score,language_transition_score,commute_minutes_one_way,hostel_issue_score,campus_belonging_1_5,mentor_interactions_month,overwhelmed_score_1_5,support_requested,F1_academic_difficulty,F2_attendance_decline,F3_low_engagement,F4_financial_stress,F5_work_pressure,F6_family_responsibility,F7_course_mismatch,F8_transition_language_gap,F9_commute_housing,F10_low_belonging_support,F11_wellbeing_support_need,synthetic_risk_probability,risk_tier,dominant_risk_factor,secondary_risk_factor,dropout_label,student_outcome,confirmed_exit_reason,generation_version
SYN00011,VALID,19,1,Engineering/Technology,Government,With Family,0,6.6,2,4,0.79,87.2,-10.9,3,10.7,-24.5,61.6,2.8,2,34,0,0,0.0,0.0,3.4,2.7,0.41,0.247,58,0.092,3.2,2,2.5,1,43.7,44.7,36.3,23.3,15.9,7.4,55.4,22.8,52.1,33.7,51.6,0.287,LOW,Course mismatch / low interest,Commute / housing / accessibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00012,TRAIN,22,7,Arts/Humanities,Government,With Family,0,5.69,2,6,0.485,72.3,-3.9,4,7.8,-23.2,60.5,8.6,3,50,0,1,16.4,15.5,3.7,2.1,0.352,0.0,53,0.17,2.2,2,5.0,1,74.9,45.4,60.0,54.3,36.6,18.7,22.3,15.3,39.2,70.1,73.3,0.7466,CRITICAL,Academic difficulty,Wellbeing / support need,1,DROPOUT,ACADEMIC_DIFFICULTY,SIH_SYN_V1_2026-08-22
SYN00013,TRAIN,26,8,Education,Government-Aided,With Family,0,7.52,2,2,0.806,78.0,-2.2,3,11.2,10.4,79.5,2.2,0,62,0,0,6.0,23.0,4.4,1.8,0.187,0.042,45,0.005,3.5,3,2.1,0,26.9,40.1,24.8,28.1,17.6,64.2,18.2,14.6,35.4,41.5,37.3,0.1846,LOW,Family/domestic responsibility,Low belonging / weak mentor support,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00014,VALID,21,3,Commerce/Management,Government,With Family,0,7.83,2,1,0.893,76.6,-10.1,4,9.2,-54.2,62.4,7.8,4,37,0,0,0.0,7.7,3.6,2.0,0.242,0.092,5,0.034,4.2,2,2.8,0,18.4,37.3,62.0,28.1,35.4,26.9,31.3,25.6,10.0,37.8,46.9,0.2405,LOW,Low learning engagement,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00015,TEST,20,1,Arts/Humanities,Government,Hostel,0,7.72,4,3,0.574,73.6,-10.2,3,10.3,-23.0,52.4,4.1,4,24,0,0,8.3,7.0,2.9,3.3,0.528,0.424,17,0.026,4.4,2,3.8,1,44.0,37.2,57.5,23.7,19.8,16.8,59.1,57.5,20.5,20.6,85.9,0.4091,MODERATE,Wellbeing / support need,Course mismatch / low interest,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00016,TRAIN,22,7,Engineering/Technology,Government,PG/Rented,1,7.94,3,2,0.826,69.5,-7.6,3,11.6,7.1,82.7,4.9,2,19,3,1,0.0,12.9,4.8,1.4,0.246,0.187,34,0.0,4.6,2,3.5,0,24.3,35.4,23.2,28.7,28.8,19.1,7.8,26.2,7.8,23.7,48.0,0.1341,LOW,Wellbeing / support need,Attendance decline,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00017,TRAIN,17,7,Science,Government,Hostel,0,6.56,2,3,0.801,85.2,-1.8,4,14.1,10.5,79.4,1.8,2,17,0,0,0.0,7.0,3.9,2.3,0.234,0.12,19,0.049,4.5,2,2.3,1,36.2,29.5,34.4,29.8,28.5,9.4,31.0,5.0,13.3,23.1,35.3,0.1185,LOW,Academic difficulty,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00018,TRAIN,21,5,Commerce/Management,Government-Aided,Hostel,1,9.02,0,0,0.901,74.8,5.3,3,15.6,28.0,86.1,0.1,0,39,0,0,0.0,13.0,4.2,1.1,0.184,0.0,3,0.107,3.8,3,2.2,0,9.8,17.2,3.3,26.6,33.2,55.0,14.3,11.4,13.4,26.2,27.8,0.0402,LOW,Family/domestic responsibility,Employment/work pressure,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00019,TRAIN,26,1,Commerce/Management,Government-Aided,With Family,1,4.63,3,5,0.54,67.6,-12.3,5,5.8,-21.5,50.9,7.6,4,35,32,1,22.9,20.4,2.3,4.0,0.562,0.453,5,0.028,4.0,3,4.0,1,69.0,50.5,58.1,56.3,45.6,43.4,69.0,37.6,10.3,17.2,78.4,0.7887,CRITICAL,Wellbeing / support need,Course mismatch / low interest,1,DROPOUT,TRANSITION_OR_LANGUAGE_GAP,SIH_SYN_V1_2026-08-22
SYN00020,TRAIN,30,1,Engineering/Technology,Government,PG/Rented,1,8.41,0,2,0.947,81.9,-7.4,2,7.1,3.0,72.7,3.7,2,48,30,1,7.6,12.8,3.3,2.0,0.226,0.19,28,0.067,4.2,3,3.2,1,17.3,28.8,37.3,40.2,23.6,25.4,31.2,17.5,33.9,31.6,58.4,0.1948,LOW,Wellbeing / support need,Financial stress,1,DROPOUT,LOW_CAMPUS_SUPPORT,SIH_SYN_V1_2026-08-22
SYN00021,TRAIN,20,8,Arts/Humanities,Private,With Family,0,8.13,0,2,0.805,76.2,-4.0,3,11.3,-22.6,65.5,5.7,1,32,0,0,17.7,24.3,2.9,2.9,0.29,0.267,50,0.098,3.5,4,2.6,0,30.2,34.8,35.0,25.4,30.1,69.0,46.3,42.3,46.4,36.0,36.1,0.3445,LOW,Family/domestic responsibility,Commute / housing / accessibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00022,TRAIN,20,8,Commerce/Management,Government,With Family,0,7.7,1,2,0.839,85.4,6.0,4,14.1,0.1,81.2,2.1,1,21,0,0,0.0,8.7,3.6,3.0,0.265,0.094,50,0.0,4.1,2,1.5,0,23.9,20.9,25.0,0.8,9.8,20.1,39.5,17.8,16.5,19.9,15.2,0.0428,LOW,Course mismatch / low interest,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00023,TRAIN,20,4,Engineering/Technology,Private,Hostel,0,6.89,3,3,0.693,89.9,3.2,3,12.0,17.2,83.8,2.4,1,25,0,1,7.7,3.5,4.6,1.2,0.201,0.213,16,0.154,3.3,2,4.6,1,41.2,28.8,25.2,21.8,15.7,6.1,3.2,14.2,25.3,32.0,79.7,0.127,LOW,Wellbeing / support need,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00024,TRAIN,20,7,Science,Private,With Family,1,5.08,3,4,0.567,71.4,-7.4,3,8.4,-18.0,54.1,7.6,3,41,16,0,0.0,10.5,4.2,2.7,0.263,0.0,48,0.043,2.9,3,3.0,0,62.2,41.1,58.8,19.5,31.0,39.8,44.0,8.2,36.4,55.2,55.8,0.5436,MODERATE,Academic difficulty,Low learning engagement,1,DROPOUT,COMMUTE_HOUSING_ACCESS,SIH_SYN_V1_2026-08-22
SYN00025,TRAIN,20,4,Science,Private,With Family,1,7.63,0,2,0.975,79.1,-4.2,3,11.0,-8.6,74.0,6.5,2,16,28,1,17.7,8.9,3.3,2.4,0.0,0.217,15,0.027,3.7,4,2.7,0,16.0,24.8,34.2,25.4,26.5,42.0,32.1,17.5,3.6,24.3,41.1,0.1336,LOW,Family/domestic responsibility,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00026,TEST,19,5,Education,Private,With Family,0,7.97,1,1,0.875,82.5,7.5,2,12.6,-21.1,76.0,4.7,3,16,0,0,0.0,17.0,4.0,3.0,0.35,0.467,80,0.049,3.9,3,1.8,1,8.7,13.3,41.9,4.6,3.1,62.1,32.3,52.7,41.7,32.6,28.5,0.0859,LOW,Family/domestic responsibility,Transition / language / prerequisite gap,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00027,TRAIN,21,7,Other,Government,With Family,0,7.65,2,3,0.796,82.6,-4.5,3,9.0,-12.0,84.1,3.8,0,33,0,0,0.0,20.4,4.3,1.3,0.277,0.0,32,0.007,4.3,3,2.9,0,27.6,22.7,26.5,10.3,6.2,71.2,21.2,4.9,12.1,23.8,52.7,0.0976,LOW,Family/domestic responsibility,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00028,TRAIN,22,2,Science,Government,With Family,1,6.45,2,4,0.799,80.4,0.7,6,9.3,-21.4,66.3,5.0,1,38,24,0,16.3,11.2,3.1,2.7,0.317,0.097,42,0.0,4.3,4,3.4,1,55.4,37.7,40.4,28.5,45.1,40.9,48.4,20.9,22.9,24.1,69.8,0.4565,MODERATE,Wellbeing / support need,Academic difficulty,1,DROPOUT,ACADEMIC_DIFFICULTY,SIH_SYN_V1_2026-08-22
SYN00029,TEST,20,7,Engineering/Technology,Private,With Family,0,6.42,4,5,0.664,61.0,-11.0,6,5.6,9.2,73.6,7.3,2,90,0,0,12.6,5.5,4.7,1.0,0.043,0.188,28,0.02,4.5,2,3.6,0,49.9,58.5,33.7,49.0,28.6,22.2,8.5,9.2,5.9,18.5,85.5,0.4125,MODERATE,Wellbeing / support need,Attendance decline,1,DROPOUT,FINANCIAL_CONSTRAINT,SIH_SYN_V1_2026-08-22
SYN00030,TRAIN,20,4,Health/Allied,Government-Aided,With Family,0,6.39,2,3,0.755,72.0,-14.9,6,10.6,-7.1,65.1,5.5,3,38,0,0,0.0,21.6,3.4,3.6,0.072,0.044,20,0.032,3.8,5,3.3,0,48.9,48.8,54.5,26.5,19.5,49.2,61.7,4.7,14.1,25.5,45.8,0.3973,LOW,Course mismatch / low interest,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00031,TRAIN,18,8,Arts/Humanities,Government,Hostel,0,6.08,3,4,0.792,80.2,-7.9,1,8.6,-0.7,73.5,7.5,2,36,0,0,0.0,11.0,4.2,1.1,0.615,0.657,16,0.263,4.3,4,2.3,1,48.8,29.5,39.2,27.4,17.2,29.3,6.5,51.7,44.8,10.1,42.8,0.1631,LOW,Transition / language / prerequisite gap,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00032,TRAIN,23,1,Commerce/Management,Government-Aided,Hostel,0,5.67,4,5,0.636,79.0,-5.6,1,11.1,-23.0,83.6,4.0,1,44,0,1,14.4,11.2,3.6,1.5,0.27,0.178,6,0.095,2.5,3,4.2,0,54.0,26.8,36.1,32.7,21.2,48.0,21.5,21.0,17.2,45.9,63.8,0.2986,LOW,Wellbeing / support need,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00033,TEST,20,1,Engineering/Technology,Government,With Family,0,6.17,3,3,0.712,86.8,-9.9,5,14.7,-9.1,68.3,4.1,3,13,0,0,0.0,16.4,3.9,2.6,0.453,0.384,39,0.142,2.7,3,3.1,1,53.8,44.6,50.9,10.0,6.6,71.9,41.6,47.1,18.1,62.1,44.0,0.4525,MODERATE,Family/domestic responsibility,Low belonging / weak mentor support,1,DROPOUT,ACADEMIC_DIFFICULTY,SIH_SYN_V1_2026-08-22
SYN00034,VALID,21,7,Commerce/Management,Private,PG/Rented,1,7.01,3,2,0.763,74.3,-8.1,4,12.9,-14.9,75.6,6.3,1,0,21,0,0.0,7.6,3.6,1.9,0.043,0.0,31,0.06,3.2,4,4.3,0,34.0,52.3,42.4,21.5,15.6,26.6,26.0,4.0,39.4,37.4,78.7,0.3019,LOW,Wellbeing / support need,Attendance decline,1,DROPOUT,COURSE_MISMATCH_OR_LOW_INTEREST,SIH_SYN_V1_2026-08-22
SYN00035,TRAIN,19,1,Arts/Humanities,Government-Aided,Hostel,0,8.12,3,2,0.898,93.1,3.6,3,13.1,9.2,87.1,4.7,0,14,0,0,0.0,12.8,3.2,3.8,0.274,0.338,3,0.052,3.8,4,3.5,0,24.4,23.2,27.3,25.6,36.7,40.5,51.9,29.5,1.7,33.8,50.2,0.1718,LOW,Course mismatch / low interest,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00036,TRAIN,20,7,Other,Government-Aided,PG/Rented,0,8.48,0,2,0.871,94.7,-3.1,0,13.5,13.8,97.5,3.3,0,6,0,0,0.0,16.5,4.7,2.1,0.033,0.232,9,0.0,3.9,1,1.5,0,5.6,21.3,20.9,19.2,19.3,30.7,12.7,26.1,3.6,25.4,16.6,0.0314,LOW,Family/domestic responsibility,Transition / language / prerequisite gap,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00037,TRAIN,18,7,Other,Government,PG/Rented,0,4.28,5,6,0.562,72.9,-7.8,2,7.7,-24.4,68.3,6.9,1,44,0,0,0.0,6.0,5.0,1.5,0.294,0.033,23,0.067,4.4,3,2.6,1,85.1,36.4,48.2,32.7,21.8,32.0,15.1,5.7,24.5,10.8,45.3,0.3281,LOW,Academic difficulty,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00038,TRAIN,25,6,Science,Private,With Family,1,4.64,4,7,0.582,84.3,-3.2,3,8.1,-2.9,73.4,3.6,1,11,6,1,15.7,9.4,4.1,1.2,0.358,0.076,18,0.0,4.3,4,2.0,0,78.0,43.3,34.3,23.8,26.4,21.2,23.0,14.2,4.0,11.4,37.1,0.2139,LOW,Academic difficulty,Attendance decline,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00039,TRAIN,22,3,Engineering/Technology,Government-Aided,Hostel,0,6.14,4,4,0.638,77.3,-9.7,4,11.0,-24.6,64.4,4.6,1,15,0,0,12.6,7.5,3.1,1.9,0.42,0.449,3,0.038,3.5,4,2.4,0,50.9,37.3,39.4,30.0,31.4,18.3,19.3,49.1,24.6,40.0,46.0,0.2937,LOW,Academic difficulty,Transition / language / prerequisite gap,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00040,TRAIN,25,3,Engineering/Technology,Government,With Family,1,7.68,2,2,0.907,64.6,-15.9,5,12.4,-11.7,60.0,6.7,2,51,32,0,14.9,9.2,3.1,2.3,0.147,0.0,96,0.0,3.1,2,3.9,0,25.0,52.8,47.0,46.7,40.9,30.7,37.1,1.0,67.1,38.8,66.7,0.531,MODERATE,Commute / housing / accessibility,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00041,TRAIN,20,6,Engineering/Technology,Government,With Family,0,8.31,0,1,0.926,85.7,-4.3,0,11.0,-11.4,68.4,4.2,1,41,0,1,0.0,17.7,2.5,3.9,0.337,0.202,62,0.0,2.9,3,3.3,0,12.2,35.2,36.2,35.5,24.0,44.2,66.7,24.9,12.9,57.0,42.2,0.2812,LOW,Course mismatch / low interest,Low belonging / weak mentor support,1,DROPOUT,EMPLOYMENT_PRESSURE,SIH_SYN_V1_2026-08-22
SYN00042,TRAIN,21,6,Engineering/Technology,Government-Aided,Hostel,0,6.13,2,3,0.823,70.1,-2.4,4,10.4,-5.0,78.2,4.1,2,92,0,0,21.1,7.6,4.2,2.0,0.116,0.0,22,0.28,2.7,2,4.0,1,39.4,47.1,31.5,60.2,47.0,13.5,15.0,0.2,35.6,57.6,77.4,0.4742,MODERATE,Wellbeing / support need,Financial stress,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00043,TEST,18,1,Engineering/Technology,Government-Aided,PG/Rented,1,7.47,3,3,0.897,83.5,-7.3,1,8.6,0.0,69.8,8.2,2,0,7,0,0.0,0.0,4.0,1.3,0.584,0.814,9,0.093,4.1,3,3.5,0,39.2,22.6,44.2,8.2,12.9,0.2,14.3,80.7,18.1,25.7,68.2,0.1441,LOW,Transition / language / prerequisite gap,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00044,TEST,22,5,Engineering/Technology,Government-Aided,PG/Rented,1,7.99,2,2,0.745,86.8,-2.3,2,9.4,24.7,62.0,6.4,2,70,30,0,13.0,3.3,3.9,1.3,0.191,0.071,27,0.0,4.3,4,3.1,0,30.3,18.4,40.3,43.2,31.4,8.6,14.4,0.8,18.3,30.4,58.5,0.1582,LOW,Wellbeing / support need,Financial stress,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00045,TRAIN,19,4,Health/Allied,Government-Aided,Hostel,1,8.88,2,1,0.981,77.7,-7.7,2,11.5,-10.2,75.3,3.3,2,34,17,0,0.0,20.9,4.6,2.0,0.117,0.304,11,0.042,3.5,2,3.6,0,8.4,32.4,34.6,24.7,20.2,63.1,12.5,12.7,4.0,57.0,65.0,0.1587,LOW,Wellbeing / support need,Family/domestic responsibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00046,TEST,20,6,Commerce/Management,Government-Aided,With Family,1,6.73,2,3,0.913,87.7,1.1,4,10.4,5.2,72.9,3.2,0,24,11,0,0.0,0.7,4.2,2.5,0.094,0.0,83,0.15,4.3,5,3.8,0,31.9,20.0,24.8,22.0,15.5,18.0,37.7,3.9,43.7,32.9,55.4,0.1284,LOW,Wellbeing / support need,Commute / housing / accessibility,1,DROPOUT,EMPLOYMENT_PRESSURE,SIH_SYN_V1_2026-08-22
SYN00047,TRAIN,20,4,Science,Private,Hostel,0,6.88,1,3,0.757,93.6,9.6,2,11.6,-7.3,74.5,3.1,2,12,0,1,2.3,5.1,2.9,2.4,0.105,0.263,5,0.0,2.3,3,3.8,0,26.6,6.4,37.0,8.8,6.1,7.4,46.2,24.1,17.8,59.9,58.7,0.1104,LOW,Low belonging / weak mentor support,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00048,TRAIN,22,1,Engineering/Technology,Private,With Family,0,5.04,4,5,0.602,79.6,9.4,0,12.9,-18.7,67.5,6.7,3,25,0,1,0.0,0.0,3.2,3.6,0.455,0.36,24,0.0,5.0,4,1.7,0,64.9,24.7,43.6,26.1,20.7,2.3,42.6,55.6,22.9,19.1,26.8,0.2191,LOW,Academic difficulty,Transition / language / prerequisite gap,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00049,TRAIN,20,7,Commerce/Management,Government,With Family,1,5.94,3,4,0.693,75.5,1.7,3,12.8,3.2,74.1,4.0,2,0,0,0,0.0,6.6,3.5,1.0,0.356,0.253,24,0.026,4.8,4,2.4,0,53.1,26.3,36.2,22.3,18.8,20.2,18.1,27.5,4.1,9.5,27.0,0.0933,LOW,Academic difficulty,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00050,VALID,22,1,Engineering/Technology,Private,Hostel,0,5.45,5,6,0.407,78.2,-17.1,5,13.6,-11.7,80.9,2.8,3,57,0,0,0.0,12.2,4.6,1.0,0.495,0.409,11,0.143,3.9,2,1.8,0,85.6,46.2,31.6,39.7,28.9,30.3,14.6,45.6,19.7,41.0,32.2,0.4669,MODERATE,Academic difficulty,Attendance decline,1,DROPOUT,LOW_CAMPUS_SUPPORT,SIH_SYN_V1_2026-08-22
SYN00051,TRAIN,20,5,Engineering/Technology,Government-Aided,With Family,0,5.92,3,4,0.8,75.0,-10.0,3,13.6,-24.6,68.1,5.8,2,66,0,1,0.0,0.0,2.7,2.6,0.137,0.279,43,0.027,2.6,3,2.7,0,44.3,43.2,55.8,51.1,33.3,14.2,47.9,17.8,19.4,42.6,54.1,0.4287,MODERATE,Low learning engagement,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00052,TRAIN,22,5,Engineering/Technology,Government,Hostel,1,9.22,0,1,0.991,87.1,-1.3,2,11.6,-28.3,75.0,5.8,2,35,19,1,8.9,6.3,3.4,3.5,0.252,0.152,8,0.19,4.8,3,2.8,0,0.9,21.4,28.8,31.1,22.2,20.5,42.4,28.8,16.6,25.0,40.6,0.0425,LOW,Course mismatch / low interest,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00053,TRAIN,18,7,Arts/Humanities,Government-Aided,PG/Rented,1,7.96,3,4,0.895,88.7,4.6,2,11.1,-20.2,62.2,4.4,2,1,8,1,8.2,24.1,2.8,4.1,0.145,0.107,20,0.19,2.7,2,3.9,0,30.8,27.3,45.3,13.6,18.9,62.5,63.2,6.5,33.1,71.8,63.8,0.3449,LOW,Low belonging / weak mentor support,Wellbeing / support need,1,DROPOUT,LOW_CAMPUS_SUPPORT,SIH_SYN_V1_2026-08-22
SYN00054,TEST,20,5,Health/Allied,Government,Hostel,0,5.97,3,4,0.7,70.7,-9.9,7,9.8,-39.5,67.8,8.2,3,50,0,1,7.5,10.9,3.8,2.5,0.303,0.054,15,0.448,3.6,3,4.8,0,60.9,50.3,54.3,19.2,11.2,2.3,23.7,10.9,63.7,32.2,87.6,0.4046,MODERATE,Wellbeing / support need,Commute / housing / accessibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00055,TEST,18,3,Science,Government,With Family,0,7.4,3,4,0.739,81.5,-2.4,0,11.2,-5.4,73.7,4.3,2,34,0,1,5.9,8.8,2.6,3.2,0.36,0.294,88,0.213,4.7,3,2.2,0,28.5,27.8,32.6,30.9,22.4,26.4,47.6,31.2,76.1,12.1,31.4,0.2057,LOW,Commute / housing / accessibility,Course mismatch / low interest,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00056,TRAIN,20,4,Commerce/Management,Private,Hostel,0,7.84,3,3,0.858,86.6,4.8,1,16.3,-8.6,67.2,4.6,2,35,0,0,9.3,0.0,4.3,1.1,0.104,0.127,31,0.401,4.2,4,3.6,0,34.4,27.5,30.3,19.4,21.4,21.5,11.0,10.9,69.2,25.8,68.2,0.1816,LOW,Commute / housing / accessibility,Wellbeing / support need,1,DROPOUT,COMMUTE_HOUSING_ACCESS,SIH_SYN_V1_2026-08-22
